Date,Time,Room Temperature (degree Celsius),Relative Humidity (%)
22.01.18,16:18:00,23.9,49.6
22.01.18,16:30:00,23.9,49.7
22.01.18,16:42:00,23.8,49
22.01.18,16:54:00,23.9,48.7
22.01.18,17:06:00,23.9,48.5
22.01.18,17:18:00,23.8,53.6
22.01.18,17:30:00,23.9,59.6
22.01.18,17:42:00,23.8,59
22.01.18,17:54:00,23.9,59
22.01.18,18:06:00,23.9,57.3
22.01.18,18:18:00,24,58
22.01.18,18:30:00,24,55.7
22.01.18,18:42:00,24,54.4
22.01.18,18:54:00,24,53
22.01.18,19:06:00,23.6,54
22.01.18,19:18:00,22.9,57.1
22.01.18,19:30:00,22.2,58.5
22.01.18,19:42:00,21.6,59.3
22.01.18,19:54:00,21,60.2
22.01.18,20:06:00,20.5,60.9
22.01.18,20:18:00,20.1,61.4
22.01.18,20:30:00,19.7,62.2
22.01.18,20:42:00,19.3,63
22.01.18,20:54:00,19,63.7
22.01.18,21:06:00,18.8,64.1
22.01.18,21:18:00,18.6,64.5
22.01.18,21:30:00,18.4,64.8
22.01.18,21:42:00,18.1,65.1
22.01.18,21:54:00,17.9,65.3
22.01.18,22:06:00,17.7,65.7
22.01.18,22:18:00,17.5,65.9
22.01.18,22:30:00,17.3,66.1
22.01.18,22:42:00,17.2,66.3
22.01.18,22:54:00,17,66.7
22.01.18,23:06:00,16.9,66.8
22.01.18,23:18:00,16.7,66.7
22.01.18,23:30:00,16.6,66.7
22.01.18,23:42:00,16.5,67
22.01.18,23:54:00,16.4,67.2
23.01.18,00:06:00,16.3,67.3
23.01.18,00:18:00,16.2,67.4
23.01.18,00:30:00,16.1,67.5
23.01.18,00:42:00,16,67.5
23.01.18,00:54:00,15.9,67.6
23.01.18,01:06:00,15.8,67.6
23.01.18,01:18:00,15.8,67.6
23.01.18,01:30:00,15.7,67.6
23.01.18,01:42:00,15.6,67.6
23.01.18,01:54:00,15.5,67.7
23.01.18,02:06:00,15.5,67.7
23.01.18,02:18:00,15.4,67.7
23.01.18,02:30:00,15.3,67.7
23.01.18,02:42:00,15.3,67.5
23.01.18,02:54:00,15.2,67.3
23.01.18,03:06:00,15.1,67.1
23.01.18,03:18:00,15.1,67
23.01.18,03:30:00,15,67
23.01.18,03:42:00,15,67.1
23.01.18,03:54:00,14.9,67.2
23.01.18,04:06:00,14.9,67.2
23.01.18,04:18:00,14.8,67.1
23.01.18,04:30:00,14.8,67.1
23.01.18,04:42:00,14.8,66.9
23.01.18,04:54:00,14.7,66.8
23.01.18,05:06:00,14.7,66.7
23.01.18,05:18:00,14.6,66.6
23.01.18,05:30:00,14.6,66.5
23.01.18,05:42:00,14.6,66.5
23.01.18,05:54:00,14.5,66.3
23.01.18,06:06:00,14.4,65.9
23.01.18,06:18:00,14.4,65.3
23.01.18,06:30:00,14.3,64.8
23.01.18,06:42:00,14.3,64.4
23.01.18,06:54:00,14.2,64
23.01.18,07:06:00,14.3,63.6
23.01.18,07:18:00,15.7,62.4
23.01.18,07:30:00,16.9,62.9
23.01.18,07:42:00,17.8,62
23.01.18,07:54:00,18.5,61.1
23.01.18,08:06:00,19,60.5
23.01.18,08:18:00,19.4,60.7
23.01.18,08:30:00,19.9,61.7
23.01.18,08:42:00,20.4,62.2
23.01.18,08:54:00,20.8,62
23.01.18,09:06:00,21.2,62.3
23.01.18,09:18:00,21.5,62.3
23.01.18,09:30:00,21.9,62.6
23.01.18,09:42:00,22.2,61.9
23.01.18,09:54:00,22.6,61.7
23.01.18,10:06:00,22.9,61.4
23.01.18,10:18:00,23.1,60.9
