Gen,Frame,name,area pred,area gt,mean exg pred,mean exg gt,mean exr pred,mean exr gt,mean exgr pred,mean exgr gt
7,10,video0007_frame0010_R128x128.png,369,495,-2.458007813,0.409545898,21.37927246,12.9039917,-23.83728027,-12.4944458
7,11,video0007_frame0011_R128x128.png,282,512,-5.699035645,-1.633178711,16.22912598,15.20654297,-21.92816162,-16.83972168
7,12,video0007_frame0012_R128x128.png,431,476,-6.475463867,-5.579284668,19.28320313,20.38299561,-25.75866699,-25.96228027
8,1,video0008_frame0001_R128x128.png,370,370,-5.846313477,-5.846313477,16.79193115,16.79193115,-22.63824463,-22.63824463
8,2,video0008_frame0002_R128x128.png,458,458,-0.006958008,-0.006958008,14.60125732,14.60125732,-14.60821533,-14.60821533
8,3,video0008_frame0003_R128x128.png,821,821,3.143798828,3.143798828,14.58349609,14.58349609,-11.43969727,-11.43969727
8,4,video0008_frame0004_R128x128.png,677,677,-0.321594238,-0.321594238,17.23999023,17.23999023,-17.56158447,-17.56158447
8,5,video0008_frame0005_R128x128.png,1014,1014,3.146179199,3.146179199,19.14801025,19.14801025,-16.00183105,-16.00183105
8,6,video0008_frame0006_R128x128.png,1370,1370,7.801330566,7.801330566,17.21856689,17.21856689,-9.417236328,-9.417236328
8,7,video0008_frame0007_R128x128.png,1238,947,3.762634277,1.481872559,18.28662109,14.12957764,-14.52398682,-12.64770508
8,8,video0008_frame0008_R128x128.png,725,2364,-1.821777344,11.45166016,18.34161377,14.95300293,-20.16339111,-3.501342773
8,9,video0008_frame0009_R128x128.png,781,1764,-0.99017334,8.557922363,18.84448242,14.47937012,-19.83465576,-5.921447754
8,10,video0008_frame0010_R128x128.png,952,2329,0.562744141,12.51824951,17.87255859,17.57775879,-17.30981445,-5.059509277
8,11,video0008_frame0011_R128x128.png,980,1090,-0.692382813,3.899169922,16.70593262,15.8092041,-17.39831543,-11.91003418
8,12,video0008_frame0012_R128x128.png,747,736,-2.248657227,-0.163269043,20.54528809,16.58062744,-22.79394531,-16.74389648
9,1,video0009_frame0001_R128x128.png,2150,2150,12.75170898,12.75170898,14.52526855,14.52526855,-1.77355957,-1.77355957
9,2,video0009_frame0002_R128x128.png,2097,2097,11.22253418,11.22253418,17.18890381,17.18890381,-5.966369629,-5.966369629
9,3,video0009_frame0003_R128x128.png,1739,1739,10.38598633,10.38598633,18.55725098,18.55725098,-8.171264648,-8.171264648
9,4,video0009_frame0004_R128x128.png,2124,2124,13.87786865,13.87786865,14.7220459,14.7220459,-0.844177246,-0.844177246
9,5,video0009_frame0005_R128x128.png,3951,3951,26.07788086,26.07788086,13.65887451,13.65887451,12.41900635,12.41900635
9,6,video0009_frame0006_R128x128.png,4194,4194,26.89093018,26.89093018,14.15246582,14.15246582,12.73846436,12.73846436
9,7,video0009_frame0007_R128x128.png,3104,4312,15.51855469,26.8013916,17.06195068,15.21643066,-1.543395996,11.58496094
9,8,video0009_frame0008_R128x128.png,3343,4413,16.78509521,27.22106934,15.82159424,12.46307373,0.963500977,14.75799561
9,9,video0009_frame0009_R128x128.png,2098,4595,8.490234375,29.69293213,16.86871338,14.90515137,-8.378479004,14.78778076
9,10,video0009_frame0010_R128x128.png,2322,5390,8.742248535,35.37597656,17.11010742,13.85345459,-8.367858887,21.52252197
9,11,video0009_frame0011_R128x128.png,2823,6150,13.93359375,41.5479126,16.33929443,11.43115234,-2.405700684,30.11676025
9,12,video0009_frame0012_R128x128.png,2570,4827,10.48199463,31.86206055,17.91027832,13.99163818,-7.428283691,17.87042236
10,1,video0010_frame0001_R128x128.png,414,414,-6.255493164,-6.255493164,14.96710205,14.96710205,-21.22259521,-21.22259521
10,2,video0010_frame0002_R128x128.png,477,477,-3.944946289,-3.944946289,15.33813477,15.33813477,-19.28308105,-19.28308105
10,3,video0010_frame0003_R128x128.png,591,591,-4.913635254,-4.913635254,13.12628174,13.12628174,-18.03991699,-18.03991699
10,4,video0010_frame0004_R128x128.png,727,727,-4.444946289,-4.444946289,21.9206543,21.9206543,-26.36560059,-26.36560059
10,5,video0010_frame0005_R128x128.png,430,430,-5.841064453,-5.841064453,14.78033447,14.78033447,-20.62139893,-20.62139893
10,6,video0010_frame0006_R128x128.png,387,387,-5.04119873,-5.04119873,18.12280273,18.12280273,-23.16400146,-23.16400146
10,7,video0010_frame0007_R128x128.png,590,324,-2.98840332,-4.151184082,19.80419922,18.35876465,-22.79260254,-22.50994873
10,8,video0010_frame0008_R128x128.png,261,362,-4.96295166,-1.231140137,22.36767578,21.12957764,-27.33062744,-22.36071777
10,9,video0010_frame0009_R128x128.png,408,343,-4.457336426,-0.867492676,16.81286621,15.81243896,-21.27020264,-16.67993164
10,10,video0010_frame0010_R128x128.png,442,415,-2.470275879,-2.030822754,18.02685547,14.52880859,-20.49713135,-16.55963135
10,11,video0010_frame0011_R128x128.png,186,352,-5.632385254,-7.790344238,15.98730469,20.06945801,-21.61968994,-27.85980225
10,12,video0010_frame0012_R128x128.png,306,395,-6.281982422,-2.782775879,19.04229736,17.38922119,-25.32427979,-20.17199707
11,1,video0011_frame0001_R128x128.png,697,697,1.708984375,1.708984375,20.59375,20.59375,-18.88476563,-18.88476563
11,2,video0011_frame0002_R128x128.png,641,641,1.89654541,1.89654541,15.4375,15.4375,-13.54095459,-13.54095459
11,3,video0011_frame0003_R128x128.png,771,771,1.052001953,1.052001953,16.32104492,16.32104492,-15.26904297,-15.26904297
11,4,video0011_frame0004_R128x128.png,603,603,-3.894165039,-3.894165039,19.69946289,19.69946289,-23.59362793,-23.59362793
11,5,video0011_frame0005_R128x128.png,342,342,-4.713134766,-4.713134766,16.3260498,16.3260498,-21.03918457,-21.03918457
11,6,video0011_frame0006_R128x128.png,1049,1049,5.197387695,5.197387695,15.33953857,15.33953857,-10.14215088,-10.14215088
11,7,video0011_frame0007_R128x128.png,860,968,0.358215332,4.474182129,19.64056396,15.24761963,-19.28234863,-10.7734375
11,8,video0011_frame0008_R128x128.png,751,879,-1.952758789,3.824829102,17.48858643,15.27313232,-19.44134521,-11.44830322
11,9,video0011_frame0009_R128x128.png,855,1037,-1.434753418,-1.616638184,17.47601318,20.60528564,-18.9107666,-22.22192383
11,10,video0011_frame0010_R128x128.png,787,1331,-1.706481934,4.018554688,16.84692383,14.96051025,-18.55340576,-10.94195557
11,11,video0011_frame0011_R128x128.png,862,1795,-1.343139648,9.239501953,17.31756592,16.44250488,-18.66070557,-7.20300293
