"name","max exg","mean exg","min exg","max exr","mean exr","min exr","max exgr","mean exgr","min exgr","Gen","area","Frame"
"video0021_frame0001_R128x128.png","17","-0.94232177734375","-79","106","15.4404296875","0","17","-16.382751464844","-119","21","0","1"
"video0021_frame0002_R128x128.png","45","-12.97265625","-47","108","16.130432128906","0","45","-29.103088378906","-108","21","10","2"
"video0021_frame0003_R128x128.png","55","-0.07977294921875","-56","113","19.675231933594","0","55","-19.755004882812","-130","21","117","3"
"video0021_frame0004_R128x128.png","70","-4.5344848632812","-52","115","18.482604980469","0","70","-23.01708984375","-129","21","576","4"
"video0021_frame0005_R128x128.png","77","5.63037109375","-52","116","17.852844238281","0","77","-12.222473144531","-136","21","1523","5"
"video0021_frame0006_R128x128.png","68","12.074890136719","-40","117","15.151611328125","0","68","-3.0767211914062","-136","21","4183","6"
"video0021_frame0007_R128x128.png","76","21.129577636719","-25","121","10.968322753906","0","76","10.161254882812","-139","21","6805","7"
"video0021_frame0008_R128x128.png","83","35.902954101562","-35","109","8.009765625","0","83","27.893188476562","-108","21","11501","8"
"video0022_frame0001_R128x128.png","75","39.793518066406","-27","82","2.9841918945312","0","75","36.809326171875","-108","22","13543","9"
"video0022_frame0002_R128x128.png","83","45.599304199219","-15","102","4.2326049804688","0","83","41.36669921875","-106","22","13973","10"
"video0022_frame0003_R128x128.png","83","38.265625","-47","107","4.2672119140625","0","83","33.998413085938","-125","22","13893","11"
"video0022_frame0004_R128x128.png","117","63.105346679688","-22","100","2.9945068359375","0","117","60.11083984375","-122","22","12719","12"
"video0022_frame0005_R128x128.png","110","64.287719726562","-22","137","2.3702392578125","0","110","61.91748046875","-153","22","15073","13"
"video0022_frame0006_R128x128.png","107","56.411376953125","-27","104","1.80517578125","0","107","54.606201171875","-114","22","13397","14"
"video0022_frame0007_R128x128.png","149","53.256774902344","-17","111","1.6907958984375","0","149","51.565979003906","-114","22","10639","15"
"video0022_frame0008_R128x128.png","95","47.602233886719","-17","97","2.0117797851562","0","95","45.590454101562","-102","22","14895","16"
"video0023_frame0001_R128x128.png","26","-2.838134765625","-108","103","15.541564941406","0","22","-18.379699707031","-136","23","0","1"
"video0023_frame0002_R128x128.png","26","-13.135559082031","-57","110","17.926086425781","0","25","-31.061645507812","-113","23","1","2"
"video0023_frame0003_R128x128.png","57","-0.57012939453125","-48","111","21.799560546875","0","57","-22.369689941406","-125","23","260","3"
"video0023_frame0004_R128x128.png","76","-3.7067260742188","-45","118","17.016418457031","0","76","-20.72314453125","-141","23","631","4"
"video0023_frame0005_R128x128.png","82","4.6417846679688","-40","112","18.504943847656","0","82","-13.863159179688","-131","23","1528","5"
"video0023_frame0006_R128x128.png","72","14.914855957031","-34","113","15.091003417969","0","72","-0.1761474609375","-125","23","4375","6"
