"name","area pred","max exg pred","mean exg pred","min exg pred","max exr pred","mean exr pred","min exr pred","max exgr pred","mean exgr pred","min exgr pred","Gen","Frame","","area gt","max exg gt","mean exg gt","min exg gt","max exr gt","mean exr gt","min exr gt","max exgr gt","mean exgr gt","min exgr gt"
"video0007_frame0002_R128x128.png","0","34","-10.978576660156","-78","108","18.337585449219","0","19","-29.316162109375","-130","7","2","","0","34","-10.978576660156","-78","108","18.337585449219","0","19","-29.316162109375","-130"
"video0007_frame0003_R128x128.png","31","39","-2.6900634765625","-80","107","20.796203613281","0","39","-23.486267089844","-127","7","3","","31","39","-2.6900634765625","-80","107","20.796203613281","0","39","-23.486267089844","-127"
"video0007_frame0004_R128x128.png","303","63","-8.4505615234375","-66","110","17.404174804688","0","63","-25.854736328125","-142","7","4","","303","63","-8.4505615234375","-66","110","17.404174804688","0","63","-25.854736328125","-142"
"video0007_frame0005_R128x128.png","1097","68","6.4862060546875","-28","116","18.763793945312","0","68","-12.277587890625","-130","7","5","","936","71","3.5623168945312","-62","109","19.044616699219","0","71","-15.482299804688","-140"
"video0007_frame0006_R128x128.png","3079","71","10.863891601562","-28","103","17.860900878906","0","71","-6.9970092773438","-120","7","6","","2800","78","7.0923461914062","-71","108","17.159790039062","0","78","-10.067443847656","-129"
"video0007_frame0007_R128x128.png","5545","73","19.373046875","-25","117","14.14892578125","0","73","5.22412109375","-130","7","7","","4972","79","15.615051269531","-54","109","13.537536621094","0","79","2.0775146484375","-120"
"video0007_frame0008_R128x128.png","8716","69","25.985717773438","-23","111","9.08447265625","0","69","16.901245117188","-120","7","8","","8529","67","24.385681152344","-50","114","8.9793090820312","0","67","15.406372070312","-125"
"video0008_frame0001_R128x128.png","11408","79","35.72802734375","-36","86","5.4139404296875","0","79","30.314086914062","-111","8","9","","11408","79","35.72802734375","-36","86","5.4139404296875","0","79","30.314086914062","-111"
"video0008_frame0002_R128x128.png","13045","91","45.491760253906","-22","103","4.2826538085938","0","91","41.209106445312","-105","8","10","","13045","91","45.491760253906","-22","103","4.2826538085938","0","91","41.209106445312","-105"
"video0008_frame0003_R128x128.png","13559","114","63.022277832031","-41","123","2.5206298828125","0","114","60.501647949219","-151","8","11","","13559","114","63.022277832031","-41","123","2.5206298828125","0","114","60.501647949219","-151"
"video0008_frame0004_R128x128.png","13579","93","52.362121582031","-31","82","3.1785888671875","0","93","49.183532714844","-99","8","12","","13579","93","52.362121582031","-31","82","3.1785888671875","0","93","49.183532714844","-99"
"video0008_frame0005_R128x128.png","13754","116","59.763793945312","-23","111","4.4699096679688","0","116","55.293884277344","-124","8","13","","14070","136","76.604858398438","-26","102","4.7182006835938","0","136","71.886657714844","-105"
"video0008_frame0006_R128x128.png","14533","109","59.114135742188","-20","119","2.5958862304688","0","109","56.518249511719","-139","8","14","","14047","114","64.033264160156","-31","117","2.37109375","0","114","61.662170410156","-124"
"video0008_frame0007_R128x128.png","13598","112","55.991394042969","-49","96","5.3758544921875","0","112","50.615539550781","-120","8","15","","14020","120","56.485046386719","-36","107","3.2145385742188","0","120","53.2705078125","-131"
"video0008_frame0008_R128x128.png","13284","108","52.500366210938","-22","99","3.3823852539062","0","108","49.117980957031","-108","8","16","","14512","107","55.578308105469","-32","109","1.4684448242188","0","107","54.10986328125","-127"
"video0009_frame0001_R128x128.png","0","19","-1.3369750976562","-68","108","14.811279296875","0","19","-16.148254394531","-116","9","1","","0","19","-1.3369750976562","-68","108","14.811279296875","0","19","-16.148254394531","-116"
"video0009_frame0002_R128x128.png","2","26","-9.9661254882812","-38","93","20.110412597656","0","26","-30.076538085938","-117","9","2","","2","26","-9.9661254882812","-38","93","20.110412597656","0","26","-30.076538085938","-117"
"video0009_frame0003_R128x128.png","14","35","-3.5291137695312","-36","111","21.919860839844","0","35","-25.448974609375","-126","9","3","","14","35","-3.5291137695312","-36","111","21.919860839844","0","35","-25.448974609375","-126"
"video0009_frame0004_R128x128.png","257","71","-7.70849609375","-38","114","19.674926757812","0","71","-27.383422851562","-140","9","4","","257","71","-7.70849609375","-38","114","19.674926757812","0","71","-27.383422851562","-140"
"video0009_frame0005_R128x128.png","682","61","4.4328002929688","-24","106","21.947937011719","0","61","-17.51513671875","-123","9","5","","709","71","1.1370239257812","-27","115","21.031372070312","0","71","-19.894348144531","-138"
"video0009_frame0006_R128x128.png","2950","69","9.4758911132812","-30","119","19.260986328125","0","69","-9.7850952148438","-132","9","6","","2308","80","4.75439453125","-39","117","19.04052734375","0","80","-14.2861328125","-131"
"video0009_frame0007_R128x128.png","4775","68","15.353942871094","-23","109","16.2919921875","0","68","-0.93804931640625","-117","9","7","","4217","72","11.235412597656","-25","113","16.141052246094","0","72","-4.9056396484375","-126"
"video0009_frame0008_R128x128.png","7503","69","21.56787109375","-35","110","11.220886230469","0","69","10.346984863281","-113","9","8","","6991","77","18.6787109375","-31","111","10.807495117188","0","77","7.8712158203125","-125"
"video0010_frame0001_R128x128.png","9959","88","28.901794433594","-29","98","5.5930786132812","0","88","23.308715820312","-125","10","9","","9959","88","28.901794433594","-29","98","5.5930786132812","0","88","23.308715820312","-125"
"video0010_frame0002_R128x128.png","11693","85","38.794799804688","-20","109","8.5195922851562","0","85","30.275207519531","-117","10","10","","11693","85","38.794799804688","-20","109","8.5195922851562","0","85","30.275207519531","-117"
"video0010_frame0003_R128x128.png","14159","110","56.471374511719","-31","103","3.65869140625","0","110","52.812683105469","-107","10","11","","14159","110","56.471374511719","-31","103","3.65869140625","0","110","52.812683105469","-107"
"video0010_frame0004_R128x128.png","13139","105","50.883178710938","-26","107","4.12060546875","0","105","46.762573242188","-112","10","12","","13139","105","50.883178710938","-26","107","4.12060546875","0","105","46.762573242188","-112"
"video0010_frame0005_R128x128.png","13664","89","45.905700683594","-42","96","4.105712890625","0","89","41.799987792969","-135","10","13","","13830","108","56.590454101562","-26","107","3.599609375","0","108","52.990844726562","-107"
"video0010_frame0006_R128x128.png","13587","98","47.074523925781","-33","114","3.6760864257812","0","98","43.3984375","-128","10","14","","14287","92","45.289733886719","-39","119","2.914794921875","0","92","42.374938964844","-133"
"video0010_frame0007_R128x128.png","13331","87","44.574645996094","-19","119","5.3533325195312","0","87","39.221313476562","-126","10","15","","13606","142","49.633422851562","-28","118","4.6611328125","0","142","44.972290039062","-138"
"video0010_frame0008_R128x128.png","12918","111","50.908325195312","-29","101","2.9844970703125","0","111","47.923828125","-102","10","16","","13508","104","52.007751464844","-57","98","1.471923828125","0","104","50.535827636719","-111"
"video0011_frame0001_R128x128.png","0","17","-3.8523559570312","-28","105","13.100952148438","0","8","-16.953308105469","-110","11","1","","0","17","-3.8523559570312","-28","105","13.100952148438","0","8","-16.953308105469","-110"
